Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0160306267	111537.804	111537.804	111537.804	111537.804	0	0	0	0	42996.5	0	0	3
2	1	0	0.0320612533	122691.584	117114.694	111537.804	122691.584	5576.89019	0	0	0	52169.4	0	0	3
3	1	0	0.04809188	134960.742	123063.377	111537.804	134960.742	11525.5731	0	0	0	67515	0	0	3
4	2	0	0.0641225067	148456.817	129411.737	111537.804	148456.817	17873.933	0	0	0	81774.9	0	0	3
5	2	0	0.0801531333	162186.275	135966.644	111537.804	162186.275	24428.8407	0	0	0	87347	0	0	3
6	2	0	0.09618376	162904.549	140456.295	111537.804	162904.549	28918.4916	0	0	0	88653.2	0	0	3
7	2	0	0.112214387	163399.846	143733.945	111537.804	163399.846	32196.1417	0	0	0	89622.2	0	0	3
8	2	0	0.128245013	164741.659	146359.91	111537.804	164741.659	34822.1059	0	0	0	91052.8	0	0	3
9	3	0	0.14427564	166536.256	148601.726	111537.804	166536.256	37063.9221	0	0	0	93090.7	0	0	3
10	3	0	0.160306267	168936.696	150635.223	111537.804	168936.696	39097.4192	0	0	0	95551.8	0	0	3
11	3	0	0.176336893	169305.977	152332.564	111537.804	169305.977	40794.7605	0	0	0	98827.9	0	0	3
12	3	0	0.19236752	170435.618	153841.152	111537.804	170435.618	42303.3483	0	0	0	101769	0	0	3
13	4	0	0.208398147	172062.807	155242.818	111537.804	172062.807	43705.0141	0	0	0	104422	0	0	3
14	4	0	0.224428773	173925.152	156577.27	111537.804	173925.152	45039.4665	0	0	0	107014	0	0	3
15	4	0	0.2404594	175803.772	157859.037	111537.804	175803.772	46321.2333	0	0	0	109779	0	0	3
16	4	0	0.256490027	176469.287	159022.178	111537.804	176469.287	47484.3739	0	0	0	112750	0	0	3
17	4	0	0.272520653	177557.061	160112.465	111537.804	177557.061	48574.6612	0	0	0	115315	0	0	3
18	5	0	0.28855128	179010.169	161162.337	111537.804	179010.169	49624.5337	0	0	0	117643	0	0	3
19	5	0	0.304581907	180631.387	162187.024	111537.804	180631.387	50649.2205	0	0	0	119886	0	0	3
20	5	0	0.320612533	182531.884	163204.267	111537.804	182531.884	51666.4635	0	0	0	122311	0	0	3
21	5	0	0.33664316	183210.717	164156.955	111537.804	183210.717	52619.1516	0	0	0	124745	0	0	3
22	6	0	0.352673787	184312.148	165073.1	111537.804	184312.148	53535.2967	0	0	0	126845	0	0	3
23	6	0	0.368704413	185652.323	165967.849	111537.804	185652.323	54430.0455	0	0	0	128781	0	0	3
24	6	0	0.38473504	187157.306	166850.743	111537.804	187157.306	55312.9395	0	0	0	130941	0	0	3
25	6	0	0.400765667	188682.629	167724.019	111537.804	188682.629	56186.215	0	0	0	133067	0	0	3
26	6	0	0.416796293	189607.439	168565.689	111537.804	189607.439	57027.885	0	0	0	135278	0	0	3
27	7	0	0.43282692	190726.522	169386.46	111537.804	190726.522	57848.6566	0	0	0	137077	0	0	3
28	7	0	0.448857547	192200.526	170201.248	111537.804	192200.526	58663.4446	0	0	0	139136	0	0	3
29	7	0	0.464888173	193640.682	171009.505	111537.804	193640.682	59471.701	0	0	0	141154	0	0	3
30	7	0	0.4809188	194926.784	171806.747	111537.804	194926.784	60268.9436	0	0	0	143120	0	0	3
31	8	0	0.496949427	195775.762	172579.941	111537.804	195775.762	61042.1376	0	0	0	144815	0	0	3
32	8	0	0.512980053	196831.105	173337.79	111537.804	196831.105	61799.9865	0	0	0	146358	0	0	3
33	8	0	0.52901068	197982.531	176039.188	122691.584	197982.531	58924.494	0	0	0	147852	0	0	3
34	8	0	0.545041307	199223.495	178430.81	134960.742	199223.495	55367.4334	0	0	0	149552	0	0	3
35	9	0	0.561071933	200490.69	180478.621	148456.817	200490.69	51066.8842	0	0	0	151262	0	0	3
36	9	0	0.57710256	201339.806	182131.214	162186.275	201339.806	39153.5303	0	0	0	152959	0	0	3
37	9	0	0.593133187	202294.253	183384.589	162904.549	202294.253	39389.7037	0	0	0	154243	0	0	3
38	9	0	0.609163813	203341.914	184648.256	163399.846	203341.914	39942.0677	0	0	0	155830	0	0	3
39	10	0	0.62519444	204434.429	185930.587	164741.659	204434.429	39570.6775	0	0	0	159267	0	0	3
40	10	0	0.641225067	205561.387	187206.204	166536.256	205561.387	38604.4777	0	0	0	158844	0	0	3
41	10	0	0.657255693	206343.566	188450.182	168936.696	206343.566	37406.8701	0	0	0	160569	0	0	3
42	10	0	0.67328632	207195.168	189645.759	169305.977	207195.168	37313.1951	0	0	0	163986	0	0	3
43	11	0	0.689316947	208099.923	190858.07	170435.618	208099.923	37016.9181	0	0	0	169899	0	0	3
44	11	0	0.705347573	209049.875	192064.766	172062.807	209049.875	36821.9478	0	0	0	175763	0	0	3
45	11	0	0.7213782	210034.22	193251.372	173925.152	210034.22	36109.0673	0	0	0	177940	0	0	3
46	11	0	0.737408827	210881.835	194406.269	175803.772	210881.835	35078.0629	0	0	0	170246	0	0	3
47	12	0	0.753439453	211787.833	195530.77	176469.287	211787.833	35318.5456	0	0	0	168924	0	0	3
48	12	0	0.76947008	212735.232	196664.081	177557.061	212735.232	35178.1705	0	0	0	168872	0	0	3
49	12	0	0.785500707	213711.518	197793.908	179010.169	213711.518	34701.3488	0	0	0	170267	0	0	3
50	12	0	0.801531333	214711.229	198909.566	180631.387	214711.229	34079.8422	0	0	0	173985	0	0	3
51	13	0	0.81756196	215721.841	200006.143	182531.884	215721.841	33189.9562	0	0	0	180110	0	0	3
52	13	0	0.833592587	216749.134	201075.432	183210.717	216749.134	33538.417	0	0	0	175166	0	0	3
53	13	0	0.849623213	217796.411	202156.235	184312.148	217796.411	33484.2632	0	0	0	176762	0	0	3
54	13	0	0.86565384	218853.702	203235.658	185652.323	218853.702	33201.3793	0	0	0	178514	0	0	3
55	14	0	0.881684467	219921.453	204306.569	187157.306	219921.453	32764.147	0	0	0	180794	0	0	3
56	14	0	0.897715093	220992.182	205363.909	188682.629	220992.182	32309.5532	0	0	0	187202	0	0	3
57	14	0	0.91374572	222063.17	206407.05	189607.439	222063.17	32455.7307	0	0	0	187002	0	0	3
