Iteration	CPUTime	PhysTime	Travels
1	1	0	0.0160306267
2	1	0	0.0320612533
3	1	0	0.04809188
4	2	0	0.0641225067
5	2	0	0.0801531333
6	2	0	0.09618376
7	2	0	0.112214387
8	2	0	0.128245013
9	3	0	0.14427564
10	3	0	0.160306267
11	3	0	0.176336893
12	3	0	0.19236752
13	4	0	0.208398147
14	4	0	0.224428773
15	4	0	0.2404594
16	4	0	0.256490027
17	4	0	0.272520653
18	5	0	0.28855128
19	5	0	0.304581907
20	5	0	0.320612533
21	5	0	0.33664316
22	6	0	0.352673787
23	6	0	0.368704413
24	6	0	0.38473504
25	6	0	0.400765667
26	6	0	0.416796293
27	7	0	0.43282692
28	7	0	0.448857547
29	7	0	0.464888173
30	7	0	0.4809188
31	8	0	0.496949427
32	8	0	0.512980053
33	8	0	0.52901068
34	8	0	0.545041307
35	9	0	0.561071933
36	9	0	0.57710256
37	9	0	0.593133187
38	9	0	0.609163813
39	10	0	0.62519444
40	10	0	0.641225067
41	10	0	0.657255693
42	10	0	0.67328632
43	11	0	0.689316947
44	11	0	0.705347573
45	11	0	0.7213782
46	11	0	0.737408827
47	12	0	0.753439453
48	12	0	0.76947008
49	12	0	0.785500707
50	12	0	0.801531333
51	13	0	0.81756196
52	13	0	0.833592587
53	13	0	0.849623213
54	13	0	0.86565384
55	14	0	0.881684467
56	14	0	0.897715093
57	14	0	0.91374572
58	14	0	0.929776347
59	15	0	0.945806974
60	15	0	0.9618376
61	15	0	0.977868227
62	15	0	0.993898854
63	16	0	1.00992948
