Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0160306267	101325.062	101325.062	101325.062	101325.062	0	0	0	0	42996.5	0	0	3
2	1	0	0.0320612533	101325.057	101325.06	101325.057	101325.062	0.00290796146	0	0	0	52169.4	0	0	3
3	1	0	0.04809188	101325.059	101325.059	101325.057	101325.062	0.00311944973	0	0	0	67515	0	0	3
4	2	0	0.0641225067	101325.06	101325.06	101325.057	101325.062	0.00311944973	0	0	0	81774.9	0	0	3
5	2	0	0.0801531333	101325.061	101325.06	101325.057	101325.062	0.00311944973	0	0	0	87347	0	0	3
6	2	0	0.09618376	101325.062	101325.06	101325.057	101325.062	0.00311944973	0	0	0	88653.2	0	0	3
7	2	0	0.112214387	101325.061	101325.06	101325.057	101325.062	0.00311944973	0	0	0	89622.2	0	0	3
8	2	0	0.128245013	101325.061	101325.061	101325.057	101325.062	0.00311944973	0	0	0	91052.8	0	0	3
9	3	0	0.14427564	101325.061	101325.061	101325.057	101325.062	0.00311944973	0	0	0	93090.7	0	0	3
10	3	0	0.160306267	101325.062	101325.061	101325.057	101325.062	0.00311944973	0	0	0	95551.8	0	0	3
11	3	0	0.176336893	101325.062	101325.061	101325.057	101325.062	0.00311944973	0	0	0	98827.9	0	0	3
12	3	0	0.19236752	101325.061	101325.061	101325.057	101325.062	0.00311944973	0	0	0	101769	0	0	3
13	4	0	0.208398147	101325.061	101325.061	101325.057	101325.062	0.00311944973	0	0	0	104422	0	0	3
14	4	0	0.224428773	101325.061	101325.061	101325.057	101325.062	0.00311944973	0	0	0	107014	0	0	3
15	4	0	0.2404594	101325.062	101325.061	101325.057	101325.062	0.00311944973	0	0	0	109779	0	0	3
16	4	0	0.256490027	101325.063	101325.061	101325.057	101325.063	0.00311944973	0	0	0	112750	0	0	3
17	4	0	0.272520653	101325.063	101325.061	101325.057	101325.063	0.00311944973	0	0	0	115315	0	0	3
18	5	0	0.28855128	101325.065	101325.061	101325.057	101325.065	0.00311944973	0	0	0	117643	0	0	3
19	5	0	0.304581907	101325.069	101325.062	101325.057	101325.069	0.00311944973	0	0	0	119886	0	0	3
