Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.01563981	101325.097	101325.097	101325.097	101325.097	0	0	0	0	40072.3	0	0	3
2	2	0	0.0312796201	101325.1	101325.099	101325.097	101325.1	0.00153416704	0	0	0	40396.5	0	0	3
3	3	0	0.0469194301	101325.103	101325.1	101325.097	101325.103	0.0028246342	0	0	0	40856.4	0	0	3
4	3	0	0.0625592401	101325.11	101325.102	101325.097	101325.11	0.0053046268	0	0	0	38388.6	0	0	3
5	4	0	0.0781990502	101325.114	101325.105	101325.097	101325.114	0.00758358881	0	0	0	38905.2	0	0	3
6	4	0	0.0938388602	101325.121	101325.107	101325.097	101325.121	0.0102195363	0	0	0	37930.8	0	0	3
7	4	0	0.10947867	101325.123	101325.11	101325.097	101325.123	0.0124880028	0	0	0	36842.7	0	0	3
8	5	0	0.12511848	101325.127	101325.112	101325.097	101325.127	0.0146210386	0	0	0	38543.9	0	0	3
9	5	0	0.14075829	101325.129	101325.114	101325.097	101325.129	0.0165185634	0	0	0	36803.6	0	0	3
10	6	0	0.1563981	101325.131	101325.115	101325.097	101325.131	0.0182182773	0	0	0	36643	0	0	3
11	6	0	0.17203791	101325.135	101325.117	101325.097	101325.135	0.0199807471	0	0	0	37058.6	0	0	3
12	7	0	0.18767772	101325.136	101325.119	101325.097	101325.136	0.021543413	0	0	0	37573.7	0	0	3
13	7	0	0.20331753	101325.142	101325.12	101325.097	101325.142	0.0233732872	0	0	0	38694.2	0	0	3
14	8	0	0.218957341	101325.144	101325.122	101325.097	101325.144	0.0250252038	0	0	0	39270.5	0	0	3
15	8	0	0.234597151	101325.151	101325.124	101325.097	101325.151	0.0269760606	0	0	0	40159.8	0	0	3
16	9	0	0.250236961	101325.151	101325.126	101325.097	101325.151	0.0286323761	0	0	0	40929.6	0	0	3
17	9	0	0.265876771	101325.157	101325.128	101325.097	101325.157	0.0304986639	0	0	0	41477.7	0	0	3
18	9	0	0.281516581	101325.148	101325.129	101325.097	101325.157	0.0316260875	0	0	0	41942.5	0	0	3
19	10	0	0.297156391	101325.153	101325.13	101325.097	101325.157	0.0329001883	0	0	0	42384.5	0	0	3
20	10	0	0.312796201	101325.149	101325.131	101325.097	101325.157	0.0338248115	0	0	0	42793.8	0	0	3
21	11	0	0.328436011	101325.159	101325.132	101325.097	101325.159	0.035172689	0	0	0	43233.5	0	0	3
22	11	0	0.344075821	101325.192	101325.135	101325.097	101325.192	0.0379026828	0	0	0	43576.9	0	0	3
23	12	0	0.359715631	101325.236	101325.139	101325.097	101325.236	0.0423112353	0	0	0	43904.1	0	0	3
24	12	0	0.375355441	101325.313	101325.147	101325.097	101325.313	0.0495398686	0	0	0	44238.9	0	0	3
25	13	0	0.390995251	101325.399	101325.157	101325.097	101325.399	0.0596187311	0	0	0	44574.4	0	0	3
26	13	0	0.406635061	101325.625	101325.175	101325.097	101325.625	0.0776294391	0	0	0	44945.2	0	0	3
27	13	0	0.422274871	101326.07	101325.208	101325.097	101326.07	0.110769885	0	0	0	45301.9	0	0	3
28	14	0	0.437914681	101326.95	101325.27	101325.097	101326.95	0.172991621	0	0	0	45570	0	0	3
29	14	0	0.453554491	101328.242	101325.373	101325.097	101328.242	0.275482261	0	0	0	45888.6	0	0	3
30	15	0	0.469194301	101329.627	101325.514	101325.097	101329.627	0.417294985	0	0	0	46136.3	0	0	3
31	15	0	0.484834111	101330.901	101325.688	101325.097	101330.901	0.591056896	0	0	0	46459.7	0	0	3
32	15	0	0.500473921	101332.699	101325.907	101325.097	101332.699	0.810154496	0	0	0	46702	0	0	3
33	16	0	0.516113731	101336.95	101326.278	101325.1	101336.95	1.17902282	0	0	0	46930.9	0	0	3
34	16	0	0.531753541	101344.895	101326.896	101325.103	101344.895	1.7963227	0	0	0	47156.9	0	0	3
35	17	0	0.547393351	101354.949	101327.829	101325.11	101354.949	2.72653109	0	0	0	47417.8	0	0	3
36	17	0	0.563033161	101371.317	101329.273	101325.114	101371.317	4.16822799	0	0	0	47667.2	0	0	3
37	18	0	0.578672971	101379.798	101330.982	101325.121	101379.798	5.87448272	0	0	0	47885.7	0	0	3
38	18	0	0.594312781	101384.303	101332.831	101325.123	101384.303	7.72166815	0	0	0	48059.4	0	0	3
39	18	0	0.609952591	101383.415	101334.653	101325.127	101384.303	9.54115807	0	0	0	48306.5	0	0	3
