Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.01563981	1.20370562	1.20370562	1.20370562	1.20370562	0	0	0	0	0.179714	0	0	3
2	2	0	0.0312796201	1.20972415	1.20671489	1.20370562	1.20972415	0.00300926406	0	0	0	0.31739	0	0	3
3	3	0	0.0469194301	1.22206213	1.21183064	1.20370562	1.22206213	0.00812501296	0	0	0	0.390876	0	0	3
4	3	0	0.0625592401	1.23591964	1.21785289	1.20370562	1.23591964	0.0141472634	0	0	0	0.3917	0	0	3
5	4	0	0.0781990502	1.24899337	1.22408098	1.20370562	1.24899337	0.0203753591	0	0	0	0.343148	0	0	3
6	4	0	0.0938388602	1.26133095	1.23028931	1.20370562	1.26133095	0.0265836872	0	0	0	0.333349	0	0	3
7	4	0	0.10947867	1.27300684	1.23639182	1.20370562	1.27300684	0.0326861916	0	0	0	0.328558	0	0	3
8	5	0	0.12511848	1.28437314	1.24238948	1.20370562	1.28437314	0.0386838576	0	0	0	0.346456	0	0	3
9	5	0	0.14075829	1.29551032	1.2482918	1.20370562	1.29551032	0.0445861734	0	0	0	0.333859	0	0	3
10	6	0	0.1563981	1.30667321	1.25412994	1.20370562	1.30667321	0.0504243148	0	0	0	0.335512	0	0	3
11	6	0	0.17203791	1.31748331	1.25988934	1.20370562	1.31748331	0.0561837119	0	0	0	0.331903	0	0	3
12	7	0	0.18767772	1.32770268	1.26554045	1.20370562	1.32770268	0.0618348236	0	0	0	0.330574	0	0	3
13	7	0	0.20331753	1.33741185	1.27106902	1.20370562	1.33741185	0.0673633929	0	0	0	0.353497	0	0	3
14	8	0	0.218957341	1.34669224	1.27647068	1.20370562	1.34669224	0.072765052	0	0	0	0.344749	0	0	3
15	8	0	0.234597151	1.35575724	1.28175645	1.20370562	1.35575724	0.0780508227	0	0	0	0.342222	0	0	3
16	9	0	0.250236961	1.36450533	1.28692825	1.20370562	1.36450533	0.0832226281	0	0	0	0.342077	0	0	3
17	9	0	0.265876771	1.37281867	1.29198063	1.20370562	1.37281867	0.0882750054	0	0	0	0.355966	0	0	3
18	9	0	0.281516581	1.3807726	1.29691352	1.20370562	1.3807726	0.0932078924	0	0	0	0.351926	0	0	3
19	10	0	0.297156391	1.38851215	1.3017345	1.20370562	1.38851215	0.0980288731	0	0	0	0.365288	0	0	3
20	10	0	0.312796201	1.39601548	1.30644855	1.20370562	1.39601548	0.102742922	0	0	0	0.35946	0	0	3
21	11	0	0.328436011	1.40332604	1.31106176	1.20370562	1.40332604	0.107356136	0	0	0	0.356177	0	0	3
22	11	0	0.344075821	1.41034578	1.31557467	1.20370562	1.41034578	0.111869046	0	0	0	0.355171	0	0	3
23	12	0	0.359715631	1.41706901	1.31998747	1.20370562	1.41706901	0.116281844	0	0	0	0.367026	0	0	3
24	12	0	0.375355441	1.42354527	1.32430238	1.20370562	1.42354527	0.120596752	0	0	0	0.369293	0	0	3
