Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.01563981	0.49147476	0.49147476	0.49147476	0.49147476	0	0	0	0	209.739	0	0	3
2	2	0	0.0312796201	0.504110289	0.497792525	0.49147476	0.504110289	0.00631776436	0	0	0	175.699	0	0	3
3	3	0	0.0469194301	0.544300935	0.513295328	0.49147476	0.544300935	0.021820568	0	0	0	165.066	0	0	3
4	3	0	0.0625592401	0.562385116	0.525567775	0.49147476	0.562385116	0.0340930151	0	0	0	168.773	0	0	3
5	4	0	0.0781990502	0.602540509	0.540962322	0.49147476	0.602540509	0.0494875618	0	0	0	166.596	0	0	3
6	4	0	0.0938388602	0.629859197	0.555778468	0.49147476	0.629859197	0.0643037077	0	0	0	164.406	0	0	3
7	4	0	0.10947867	0.680464529	0.573590762	0.49147476	0.680464529	0.0821160021	0	0	0	162.662	0	0	3
8	5	0	0.12511848	0.705994281	0.590141202	0.49147476	0.705994281	0.0986664419	0	0	0	161.814	0	0	3
9	5	0	0.14075829	0.759658846	0.608976496	0.49147476	0.759658846	0.117501736	0	0	0	161.737	0	0	3
10	6	0	0.1563981	0.784806119	0.626559458	0.49147476	0.784806119	0.135084698	0	0	0	162.159	0	0	3
11	6	0	0.17203791	0.862788484	0.648034824	0.49147476	0.862788484	0.156560064	0	0	0	162.732	0	0	3
12	7	0	0.18767772	0.90176368	0.669178895	0.49147476	0.90176368	0.177704135	0	0	0	163.218	0	0	3
13	7	0	0.20331753	0.970920793	0.692389811	0.49147476	0.970920793	0.200915051	0	0	0	163.724	0	0	3
14	8	0	0.218957341	0.999018887	0.714291888	0.49147476	0.999018887	0.222817127	0	0	0	164.443	0	0	3
15	8	0	0.234597151	1.0631169	0.737546888	0.49147476	1.0631169	0.246072128	0	0	0	165.286	0	0	3
16	9	0	0.250236961	1.12064304	0.761490398	0.49147476	1.12064304	0.270015638	0	0	0	166.485	0	0	3
17	9	0	0.265876771	1.1998804	0.787278045	0.49147476	1.1998804	0.295803285	0	0	0	167.457	0	0	3
18	9	0	0.281516581	1.25247068	0.81312208	0.49147476	1.25247068	0.32164732	0	0	0	168.466	0	0	3
19	10	0	0.297156391	1.33508633	0.840593882	0.49147476	1.33508633	0.349119122	0	0	0	168.824	0	0	3
20	10	0	0.312796201	1.36984632	0.867056504	0.49147476	1.36984632	0.375581744	0	0	0	169.699	0	0	3
21	11	0	0.328436011	1.50570789	0.897468475	0.49147476	1.50570789	0.405993715	0	0	0	170.435	0	0	3
22	11	0	0.344075821	1.55915007	0.927544911	0.49147476	1.55915007	0.436070151	0	0	0	171.096	0	0	3
23	12	0	0.359715631	1.68179247	0.960338283	0.49147476	1.68179247	0.468863523	0	0	0	171.702	0	0	3
24	12	0	0.375355441	1.7630255	0.993783584	0.49147476	1.7630255	0.502308824	0	0	0	171.902	0	0	3
25	13	0	0.390995251	1.89414309	1.02979796	0.49147476	1.89414309	0.538323204	0	0	0	172.36	0	0	3
26	13	0	0.406635061	2.06437462	1.06958937	0.49147476	2.06437462	0.578114614	0	0	0	173.226	0	0	3
27	13	0	0.422274871	2.28899347	1.11475249	0.49147476	2.28899347	0.623277728	0	0	0	173.621	0	0	3
28	14	0	0.437914681	2.51709417	1.16483612	0.49147476	2.51709417	0.67336136	0	0	0	174.16	0	0	3
29	14	0	0.453554491	2.7844641	1.22068536	0.49147476	2.7844641	0.7292106	0	0	0	174.319	0	0	3
30	15	0	0.469194301	3.01518245	1.28050193	0.49147476	3.01518245	0.78902717	0	0	0	174.721	0	0	3
