Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0117195194	1.20370562	1.20370562	1.20370562	1.20370562	0	0	0	0	0.220987	0	0	3
2	3	0	0.0234390388	1.20972415	1.20671489	1.20370562	1.20972415	0.00300926406	0	0	0	0.372951	0	0	3
3	3	0	0.0351585583	1.22206213	1.21183064	1.20370562	1.22206213	0.00812501296	0	0	0	0.522105	0	0	3
4	4	0	0.0468780777	1.24106564	1.21913939	1.20370562	1.24106564	0.015433763	0	0	0	0.663777	0	0	3
5	4	0	0.0585975971	1.26712963	1.22873743	1.20370562	1.26712963	0.0250318108	0	0	0	0.742206	0	0	3
6	4	0	0.0703171165	1.2953535	1.23984011	1.20370562	1.2953535	0.0361344886	0	0	0	0.740007	0	0	3
7	5	0	0.0820366359	1.32177992	1.2515458	1.20370562	1.32177992	0.0478401748	0	0	0	0.73052	0	0	3
8	5	0	0.0937561553	1.34663468	1.26343191	1.20370562	1.34663468	0.0597262852	0	0	0	0.720085	0	0	3
9	6	0	0.105475675	1.37037607	1.27531459	1.20370562	1.37037607	0.0716089694	0	0	0	0.721865	0	0	3
10	6	0	0.117195194	1.39369887	1.28715302	1.20370562	1.39369887	0.0834473974	0	0	0	0.727402	0	0	3
11	6	0	0.128914714	1.41668831	1.29892896	1.20370562	1.41668831	0.0952233322	0	0	0	0.722365	0	0	3
12	7	0	0.140634233	1.43863155	1.31057084	1.20370562	1.43863155	0.106865215	0	0	0	0.715256	0	0	3
13	7	0	0.152353752	1.45974089	1.32204546	1.20370562	1.45974089	0.118339835	0	0	0	0.703445	0	0	3
14	8	0	0.164073272	1.48037111	1.33335443	1.20370562	1.48037111	0.12964881	0	0	0	0.70508	0	0	3
15	8	0	0.175792791	1.50056349	1.3445017	1.20370562	1.50056349	0.14079608	0	0	0	0.712457	0	0	3
16	9	0	0.187512311	1.52036374	1.35549308	1.20370562	1.52036374	0.151787457	0	0	0	0.713099	0	0	3
17	9	0	0.19923183	1.53925476	1.36630259	1.20370562	1.53925476	0.162596968	0	0	0	0.717898	0	0	3
18	9	0	0.21095135	1.55744452	1.37692159	1.20370562	1.55744452	0.173215964	0	0	0	0.725749	0	0	3
19	10	0	0.222670869	1.57512349	1.38735327	1.20370562	1.57512349	0.183647643	0	0	0	0.736361	0	0	3
20	10	0	0.234390388	1.5924183	1.39760652	1.20370562	1.5924183	0.193900894	0	0	0	0.75034	0	0	3
21	11	0	0.246109908	1.60929086	1.40768673	1.20370562	1.60929086	0.203981101	0	0	0	0.754955	0	0	3
22	11	0	0.257829427	1.62554054	1.41758917	1.20370562	1.62554054	0.213883547	0	0	0	0.759887	0	0	3
23	12	0	0.269548947	1.64137073	1.4273188	1.20370562	1.64137073	0.22361318	0	0	0	0.766041	0	0	3
24	12	0	0.281268466	1.65683296	1.43688189	1.20370562	1.65683296	0.23317627	0	0	0	0.777723	0	0	3
25	12	0	0.292987985	1.67208926	1.44629019	1.20370562	1.67208926	0.242584564	0	0	0	0.78825	0	0	3
26	13	0	0.304707505	1.68714822	1.45555396	1.20370562	1.68714822	0.251848335	0	0	0	0.795367	0	0	3
27	13	0	0.316427024	1.70175269	1.46467243	1.20370562	1.70175269	0.260966806	0	0	0	0.804706	0	0	3
28	14	0	0.328146544	1.71602169	1.47364919	1.20370562	1.71602169	0.269943565	0	0	0	0.816302	0	0	3
29	14	0	0.339866063	1.73004877	1.48249055	1.20370562	1.73004877	0.27878493	0	0	0	0.827415	0	0	3
30	15	0	0.351585583	1.74388174	1.49120359	1.20370562	1.74388174	0.28749797	0	0	0	0.838776	0	0	3
31	15	0	0.363305102	1.75754582	1.49979528	1.20370562	1.75754582	0.296089655	0	0	0	0.845904	0	0	3
32	15	0	0.375024621	1.77085319	1.50826584	1.20370562	1.77085319	0.304560214	0	0	0	0.853283	0	0	3
33	16	0	0.386744141	1.78388407	1.51661791	1.20370562	1.78388407	0.312912282	0	0	0	0.861005	0	0	3
34	16	0	0.39846366	1.79668794	1.52485526	1.20370562	1.79668794	0.321149636	0	0	0	0.869112	0	0	3
35	17	0	0.41018318	1.8092999	1.53298225	1.20370562	1.8092999	0.329276626	0	0	0	0.876981	0	0	3
36	17	0	0.421902699	1.82173355	1.54100312	1.20370562	1.82173355	0.337297495	0	0	0	0.882763	0	0	3
37	18	0	0.433622218	1.83384575	1.54891778	1.20370562	1.83384575	0.345212161	0	0	0	0.889295	0	0	3
38	18	0	0.445341738	1.8456883	1.55672754	1.20370562	1.8456883	0.353021911	0	0	0	0.896589	0	0	3
39	18	0	0.457061257	1.85730791	1.56443472	1.20370562	1.85730791	0.3607291	0	0	0	0.902442	0	0	3
40	19	0	0.468780777	1.8686763	1.57204076	1.20370562	1.8686763	0.36833514	0	0	0	0.910033	0	0	3
41	19	0	0.480500296	1.87990333	1.57954961	1.20370562	1.87990333	0.375843983	0	0	0	0.915629	0	0	3
42	20	0	0.492219816	1.89081347	1.58696065	1.20370562	1.89081347	0.383255027	0	0	0	0.920683	0	0	3
43	20	0	0.503939335	1.90145563	1.59427449	1.20370562	1.90145563	0.390568864	0	0	0	0.926396	0	0	3
44	21	0	0.515658854	1.91186234	1.61074325	1.20972415	1.91186234	0.404028361	0	0	0	0.93203	0	0	3
45	21	0	0.527378374	1.92206427	1.6273093	1.22206213	1.92206427	0.415478661	0	0	0	0.937891	0	0	3
46	22	0	0.539097893	1.93207958	1.64382133	1.24106564	1.93207958	0.424681944	0	0	0	0.943757	0	0	3
47	22	0	0.550817413	1.94193424	1.6601206	1.26712963	1.94193424	0.431383166	0	0	0	0.951291	0	0	3
48	23	0	0.562536932	1.95163637	1.67603936	1.2953535	1.95163637	0.43619925	0	0	0	0.95801	0	0	3
49	23	0	0.574256451	1.96120968	1.69152439	1.32177992	1.96120968	0.439978591	0	0	0	0.963813	0	0	3
50	23	0	0.585975971	1.97058869	1.70661297	1.34663468	1.97058869	0.443181057	0	0	0	0.9693	0	0	3
51	24	0	0.59769549	1.97980777	1.72133792	1.37037607	1.97980777	0.446023328	0	0	0	0.976286	0	0	3
52	24	0	0.60941501	1.98888043	1.73572174	1.39369887	1.98888043	0.448568723	0	0	0	0.981479	0	0	3
53	25	0	0.621134529	1.99782345	1.74977115	1.41668831	1.99782345	0.450842197	0	0	0	0.988487	0	0	3
54	25	0	0.632854049	2.00664388	1.76349105	1.43863155	2.00664388	0.45292021	0	0	0	0.994665	0	0	3
55	26	0	0.644573568	2.01535417	1.7769032	1.45974089	2.01535417	0.454857745	0	0	0	1.00176	0	0	3
56	26	0	0.656293087	2.02395693	1.79002451	1.48037111	2.02395693	0.456670073	0	0	0	1.00806	0	0	3
57	27	0	0.668012607	2.03246357	1.80286387	1.50056349	2.03246357	0.458362162	0	0	0	1.01508	0	0	3
58	27	0	0.679732126	2.04087473	1.81542924	1.52036374	2.04087473	0.459936163	0	0	0	1.02146	0	0	3
59	27	0	0.691451646	2.04920056	1.82772777	1.53925476	2.04920056	0.461425183	0	0	0	1.02854	0	0	3
60	28	0	0.703171165	2.05744066	1.83977861	1.55744452	2.05744066	0.462857022	0	0	0	1.03515	0	0	3
61	28	0	0.714890684	2.06560674	1.85159634	1.57512349	2.06560674	0.464243069	0	0	0	1.04223	0	0	3
62	29	0	0.726610204	2.0736941	1.863191	1.5924183	2.0736941	0.465584483	0	0	0	1.0489	0	0	3
63	29	0	0.738329723	2.08171426	1.87456998	1.60929086	2.08171426	0.466883252	0	0	0	1.05627	0	0	3
64	30	0	0.750049243	2.08966375	1.88574144	1.62554054	2.08966375	0.464123206	0	0	0	1.063	0	0	3
65	30	0	0.761768762	2.09755013	1.89671841	1.64137073	2.09755013	0.456179391	0	0	0	1.07023	0	0	3
66	31	0	0.773488282	2.10536528	1.90750898	1.65683296	2.10536528	0.44853232	0	0	0	1.07696	0	0	3
67	31	0	0.785207801	2.11312085	1.91812032	1.67208926	2.11312085	0.441031594	0	0	0	1.08251	0	0	3
68	31	0	0.79692732	2.12071739	1.92855354	1.68714822	2.12071739	0.433569177	0	0	0	1.08913	0	0	3
69	32	0	0.80864684	2.12827767	1.93881236	1.70175269	2.12827767	0.426524977	0	0	0	1.09466	0	0	3
70	32	0	0.820366359	2.13569458	1.94890403	1.71602169	2.13569458	0.419672892	0	0	0	1.10147	0	0	3
71	33	0	0.832085879	2.1430891	1.95883583	1.73004877	2.1430891	0.413040331	0	0	0	1.10706	0	0	3
72	33	0	0.843805398	2.15034979	1.96861027	1.74388174	2.15034979	0.406468049	0	0	0	1.11333	0	0	3
73	34	0	0.855524917	2.15759645	1.97823155	1.75754582	2.15759645	0.400050627	0	0	0	1.12094	0	0	3
74	34	0	0.867244437	2.16481342	1.98770289	1.77085319	2.16481342	0.393960231	0	0	0	1.12593	0	0	3
75	35	0	0.878963956	2.17200149	1.99703192	1.78388407	2.17200149	0.388117425	0	0	0	1.13345	0	0	3
76	35	0	0.890683476	2.1791498	2.00622414	1.79668794	2.1791498	0.382461858	0	0	0	1.13896	0	0	3
77	35	0	0.902402995	2.18626647	2.01528411	1.8092999	2.18626647	0.376966571	0	0	0	1.14364	0	0	3
78	36	0	0.914122515	2.19325176	2.02421322	1.82173355	2.19325176	0.37151821	0	0	0	1.14956	0	0	3
79	36	0	0.925842034	2.20022412	2.03301533	1.83384575	2.20022412	0.366378368	0	0	0	1.15421	0	0	3
80	37	0	0.937561553	2.20707629	2.04169511	1.8456883	2.20707629	0.361387992	0	0	0	1.16038	0	0	3
81	37	0	0.949281073	2.2139242	2.05025873	1.85730791	2.2139242	0.356616294	0	0	0	1.16521	0	0	3
82	38	0	0.961000592	2.22065813	2.05870874	1.8686763	2.22065813	0.35198183	0	0	0	1.17135	0	0	3
83	38	0	0.972720112	2.22739166	2.06705096	1.87990333	2.22739166	0.347488326	0	0	0	1.17769	0	0	3
84	39	0	0.984439631	2.23410559	2.07528822	1.89081347	2.23410559	0.343292127	0	0	0	1.18391	0	0	3
85	39	0	0.99615915	2.24080473	2.08342755	1.90145563	2.24080473	0.3393491	0	0	0	1.19049	0	0	3
86	40	0	1.00787867	2.24747421	2.09147449	1.91186234	2.24747421	0.335611866	0.0307623623	0	0	1.19595	0	0	3
