Iteration	CPUTime	PhysTime	Travels
1	2	0	0.0117195194
2	3	0	0.0234390388
3	3	0	0.0351585583
4	4	0	0.0468780777
5	4	0	0.0585975971
6	4	0	0.0703171165
7	5	0	0.0820366359
8	5	0	0.0937561553
9	6	0	0.105475675
10	6	0	0.117195194
11	6	0	0.128914714
12	7	0	0.140634233
13	7	0	0.152353752
14	8	0	0.164073272
15	8	0	0.175792791
16	9	0	0.187512311
17	9	0	0.19923183
18	9	0	0.21095135
19	10	0	0.222670869
20	10	0	0.234390388
21	11	0	0.246109908
22	11	0	0.257829427
23	12	0	0.269548947
24	12	0	0.281268466
25	12	0	0.292987985
26	13	0	0.304707505
27	13	0	0.316427024
28	14	0	0.328146544
29	14	0	0.339866063
30	15	0	0.351585583
31	15	0	0.363305102
32	15	0	0.375024621
33	16	0	0.386744141
34	16	0	0.39846366
35	17	0	0.41018318
36	17	0	0.421902699
37	18	0	0.433622218
38	18	0	0.445341738
39	18	0	0.457061257
40	19	0	0.468780777
41	19	0	0.480500296
42	20	0	0.492219816
43	20	0	0.503939335
44	21	0	0.515658854
45	21	0	0.527378374
46	22	0	0.539097893
47	22	0	0.550817413
48	23	0	0.562536932
49	23	0	0.574256451
50	23	0	0.585975971
51	24	0	0.59769549
52	24	0	0.60941501
53	25	0	0.621134529
54	25	0	0.632854049
55	26	0	0.644573568
56	26	0	0.656293087
57	27	0	0.668012607
58	27	0	0.679732126
59	27	0	0.691451646
60	28	0	0.703171165
61	28	0	0.714890684
62	29	0	0.726610204
63	29	0	0.738329723
64	30	0	0.750049243
65	30	0	0.761768762
66	31	0	0.773488282
67	31	0	0.785207801
68	31	0	0.79692732
69	32	0	0.80864684
70	32	0	0.820366359
71	33	0	0.832085879
72	33	0	0.843805398
73	34	0	0.855524917
74	34	0	0.867244437
75	35	0	0.878963956
76	35	0	0.890683476
77	35	0	0.902402995
78	36	0	0.914122515
79	36	0	0.925842034
80	37	0	0.937561553
81	37	0	0.949281073
82	38	0	0.961000592
83	38	0	0.972720112
84	39	0	0.984439631
85	39	0	0.99615915
86	40	0	1.00787867
